"iteration","pruning_methods: -1 - _step","pruning_methods: -1 - _step__MIN","pruning_methods: -1 - _step__MAX","pruning_methods: -1 - val_acc","pruning_methods: -1 - val_acc__MIN","pruning_methods: -1 - val_acc__MAX","pruning_methods: 5 - _step","pruning_methods: 5 - _step__MIN","pruning_methods: 5 - _step__MAX","pruning_methods: 5 - val_acc","pruning_methods: 5 - val_acc__MIN","pruning_methods: 5 - val_acc__MAX","pruning_methods: 4 - _step","pruning_methods: 4 - _step__MIN","pruning_methods: 4 - _step__MAX","pruning_methods: 4 - val_acc","pruning_methods: 4 - val_acc__MIN","pruning_methods: 4 - val_acc__MAX"
"15000","375","375","375","25.744999999999997","17.07","32.57","375","375","375","29.935000000000002","25.38","32.68","375","375","375","16.197499999999998","14.81","17.81"
"15040","376","376","376","29.577500000000004","27.26","33.42","376","376","376","29.285","22.79","37.68","376","376","376","15.870000000000001","13.29","18.72"
"15070","55","55","55","55.667500000000004","52.19","57.55","55","55","55","57.035000000000004","56.81","57.22","55","55","55","56.1475","54.23","59.59"
"15080","377","377","377","27.105","22.91","31.43","377","377","377","34.042500000000004","31.06","40.13","377","377","377","14.567499999999999","11.79","17.22"
"15092","77","77","77","55.339999999999996","53.48","56.22","77","77","77","56.1725","55.13","58.02","77","77","77","51.97","50.23","53.41"
"15104","128","128","128","47.485","42.16","50.15","128","128","128","51.239999999999995","49.32","52.45","128","128","128","39.792500000000004","37.24","42.59"
"15120","378","378","378","30.500000000000004","25.2","32.85","378","378","378","37.900000000000006","33.83","43.27","378","378","378","17.7975","16.36","19.31"
"15160","379","379","379","30.590000000000003","26.43","34.89","379","379","379","39.47","38.35","40.82","379","379","379","17.055","15.06","18.52"
"15200","380","380","380","29.3","26.76","30.83","380","380","380","36.9575","32.97","40.86","380","380","380","16.6175","14.44","19.47"
"15222","129","129","129","46.477500000000006","44.75","48.7","129","129","129","49.9375","47.13","51.27","129","129","129","41.39","38.29","42.8"
"15240","381","381","381","24.637500000000003","13.39","31.73","381","381","381","34.1775","23.37","40.15","381","381","381","16.4775","15.82","17.7"
"15249","39","39","39","59.65","57.81","60.9","","","","","","","","","","","",""
"15280","382","382","382","27.8775","22.03","35.95","382","382","382","36.4775","31.72","41","382","382","382","16.705","15.6","18.85"
"15288","78","78","78","52.375","50.67","54.62","78","78","78","56.730000000000004","54.21","59.46","78","78","78","51.83500000000001","47.42","55.13"
"15320","383","383","383","27.7275","26.11","31.41","383","383","383","37.56","34.14","40.9","383","383","383","15.88","11.85","18.06"
"15340","130","130","130","47.855","46.31","50.2","130","130","130","47.7675","44.53","50.04","130","130","130","40.625","38.02","43.36"
"15344","56","56","56","54.785","49.95","58.72","56","56","56","58.55","57.54","59.25","56","56","56","57.8675","55.17","59.13"
"15360","384","384","384","31.465","28","34.42","384","384","384","34.572500000000005","28.44","37.74","384","384","384","16.8125","15.73","18.06"
"15400","385","385","385","26.402500000000003","20.93","34.64","385","385","385","36.72","31.85","41.01","385","385","385","16.54","15.09","18.14"
"15440","386","386","386","29.4425","25.7","32.6","386","386","386","33.655","26.88","38.81","386","386","386","14.177499999999998","10.64","16.41"
"15458","131","131","131","47.9475","45.82","50.36","131","131","131","48.225","43.56","51.73","131","131","131","41.275","39.02","42.97"
"15480","387","387","387","24.25","16.86","31.31","387","387","387","31.359999999999996","21.37","41.73","387","387","387","15.4925","13.38","18.28"
"15484","79","79","79","52.879999999999995","50.18","54.83","79","79","79","55.4975","51.97","56.94","79","79","79","53.222500000000004","51.93","54.76"
"15520","388","388","388","29.7325","23.75","33.4","388","388","388","34.03","29.39","36.54","388","388","388","15.45","12.46","18.28"
"15560","389","389","389","24.755000000000003","18.56","29.26","389","389","389","34.57","33.06","35.94","389","389","389","14.8675","12.99","16.99"
"15576","132","132","132","48.160000000000004","46.22","49.02","132","132","132","49.555","46.93","52.69","132","132","132","41.822500000000005","39.93","43.53"
"15600","390","390","390","28.635","26.52","33.38","390","390","390","36.227500000000006","34.2","38","390","390","390","14.182500000000001","11.11","17.19"
"15618","57","57","57","56.2425","54.98","57.15","57","57","57","57.645","55.77","59.5","57","57","57","58.817499999999995","56.58","59.75"
"15640","215.5","40","391","45.27625","29.96","60.69","391","391","391","36.2325","30.46","41.42","391","391","391","17.77","16.18","19.04"
"15680","236","80","392","41.543749999999996","23.71","55.5","236","80","392","45.27125","32.69","57.49","236","80","392","35.0325","16.12","55.33"
"15694","133","133","133","48.1075","46.71","50.31","133","133","133","49.2925","47.32","52.21","133","133","133","40.3525","38.99","43.24"
"15720","393","393","393","29.569999999999997","24.24","35.13","393","393","393","37.457499999999996","32.85","42.75","393","393","393","17.677500000000002","16.14","19.14"
"15760","394","394","394","30.534999999999997","25.04","34.06","394","394","394","40.21","37.27","42.71","394","394","394","15.48","14.23","16.66"
"15800","395","395","395","30.902500000000003","24.95","36.84","395","395","395","37.2825","33.59","40.4","395","395","395","15.857500000000002","13.13","17.72"
"15812","134","134","134","47.129999999999995","45.07","49.49","134","134","134","50.55","48.43","53.1","134","134","134","40.55","39.3","42.27"
"15840","396","396","396","30.4525","25.91","35.7","396","396","396","36.925","33.31","40.39","396","396","396","15.467500000000001","12.55","17.31"
"15876","81","81","81","52.214999999999996","48.29","55.28","81","81","81","55.68","55.22","56.62","81","81","81","52.02250000000001","49.4","54.24"
"15880","397","397","397","29.5575","21.69","34.99","397","397","397","39.127500000000005","38.27","39.7","397","397","397","15.46","12.88","17.7"
"15892","58","58","58","57.04","53.4","59.81","58","58","58","59.652499999999996","59.15","60.57","58","58","58","56.60999999999999","52.91","59.79"
"15920","398","398","398","30.7675","27.96","33.19","398","398","398","37.22","33.08","41.83","398","398","398","16.425","15.06","17.92"
"15930","135","135","135","45.974999999999994","42.37","48.16","135","135","135","49.345","45.43","52.01","135","135","135","39.355000000000004","36.32","43.64"
"15960","399","399","399","30.4825","29.43","31.18","399","399","399","37.337500000000006","32.18","42.54","399","399","399","17.1675","14.64","18.68"
"16000","400","400","400","28.6175","25.72","29.92","400","400","400","37.58","33.05","42.16","400","400","400","14.9","10.52","16.56"
"16031","41","41","41","59.629999999999995","57.48","62.63","","","","","","","","","","","",""
"16040","401","401","401","28.535","25.71","32.52","401","401","401","33.13","27.4","37.55","401","401","401","13.8525","10.95","16.08"
"16048","136","136","136","47.38249999999999","45.12","50.29","136","136","136","48.92999999999999","46.64","52.13","136","136","136","39.885","34.14","44.47"
"16072","82","82","82","53.06","49.74","55.77","82","82","82","53.6125","48.89","56.77","82","82","82","52.25","51","53.62"
"16080","402","402","402","25.85","22.17","29.46","402","402","402","34.555","31.05","38.79","402","402","402","14.907499999999999","13.32","17.44"
"16120","403","403","403","28.665","25.37","33.43","403","403","403","34.9975","24.88","39.36","403","403","403","15.272499999999999","13.25","18.38"
"16160","404","404","404","30.8125","24.35","33.7","404","404","404","34.8075","29.81","37.63","404","404","404","16.6925","15.95","17.03"
"16166","98","59","137","53.0725","45.35","60.05","98","59","137","54.176249999999996","47.59","60.7","98","59","137","50.39125","38.88","60.53"
"16200","405","405","405","29.7625","25.27","34.29","405","405","405","34.475","33.21","35.78","405","405","405","15.215","12.7","16.54"
"16240","406","406","406","30.41","23.64","34.36","406","406","406","33.91","30.62","35.98","406","406","406","15.140000000000002","11.13","17.16"
"16268","83","83","83","51.885","47.26","54.59","83","83","83","55.7525","52.34","58.86","83","83","83","51.705","49.66","54.35"
"16280","407","407","407","31.787500000000005","26.64","34.35","407","407","407","37.087500000000006","34.29","39.67","407","407","407","15.592500000000001","13.31","17.15"
"16284","138","138","138","47.5125","44.91","49.53","138","138","138","51.735","49.95","53.72","138","138","138","41.9825","40.35","44.15"
"16320","408","408","408","28.587500000000002","22.52","34.27","408","408","408","33.8375","32.22","36.35","408","408","408","16.37","13.8","18.04"
"16360","409","409","409","30.049999999999997","26.25","33.76","409","409","409","37.8975","37.09","39.33","409","409","409","15.950000000000001","13.14","18.59"
"16400","410","410","410","28.24","26.49","29.5","410","410","410","35.17","34.05","36.18","410","410","410","15.532499999999999","11.94","17.48"
"16402","139","139","139","47.059999999999995","44.67","49.21","139","139","139","50.394999999999996","44.77","53.78","139","139","139","40.9925","36.29","44.69"
"16422","42","42","42","59.7575","56.78","61.24","","","","","","","","","","","",""
"16440","235.5","60","411","42.728750000000005","24.67","61.19","235.5","60","411","45.49625","29.33","59.5","235.5","60","411","36.91875","13.86","60.79"
"16464","84","84","84","51.3575","49.06","52.49","84","84","84","56.7625","53.84","58.32","84","84","84","52.68","51.1","53.95"
"16480","412","412","412","29.19","27.15","33.02","412","412","412","35.575","27.96","40.11","412","412","412","15.6525","14.91","16.66"
"16520","276.5","140","413","38.73375","26.59","49.34","276.5","140","413","40.96","20","51.88","276.5","140","413","28.242500000000003","12.66","43.1"
"16560","414","414","414","29.7725","27.18","34.73","414","414","414","33.1825","32.76","33.85","414","414","414","17.380000000000003","15.23","19.15"
"16600","415","415","415","30.6875","28.18","34.07","415","415","415","35.582499999999996","30.78","42.31","415","415","415","15.815","14.37","18.03"
"16638","141","141","141","44.657500000000006","43.52","46.94","141","141","141","47.9275","45.11","51.11","141","141","141","43.370000000000005","42.52","44.94"
"16640","416","416","416","30.0125","26.34","34.37","416","416","416","34.800000000000004","32.01","37.67","416","416","416","16.567500000000003","13.87","17.87"
"16660","85","85","85","52.5975","50.46","55","85","85","85","55.394999999999996","54.41","56.82","85","85","85","52.802499999999995","50.5","54.45"
"16680","417","417","417","30.115000000000002","26.6","34.17","417","417","417","34.7925","33.3","37.35","417","417","417","17.14","14.43","20.08"
"16714","61","61","61","58.1225","55.2","59.44","61","61","61","58.8775","57.69","60.66","61","61","61","57.622499999999995","56.48","58.94"
"16720","418","418","418","25.57","21.43","29.64","418","418","418","37.66","36.8","39.44","418","418","418","15.2975","13.08","18.84"
"16756","142","142","142","48.892500000000005","48.48","49.84","142","142","142","50.830000000000005","48.15","52.92","142","142","142","41.942499999999995","40.29","43.47"
"16760","419","419","419","28.82","23.38","31.76","419","419","419","34.5775","28.12","38.99","419","419","419","15.934999999999999","13.34","17.61"
"16800","420","420","420","29.4375","20.68","35.97","420","420","420","38.295","35.89","39.49","420","420","420","16.950000000000003","16.05","18.71"
"16813","43","43","43","59.7525","59.61","59.92","","","","","","","","","","","",""
"16840","421","421","421","29.825","26.41","32.97","421","421","421","38.67","34.95","40.35","421","421","421","17.5075","16.32","19.9"
"16856","86","86","86","53.965","52.71","54.95","86","86","86","56.807500000000005","56.05","57.83","86","86","86","51.535","47.83","54.18"
"16874","143","143","143","46.89999999999999","42.58","51.05","143","143","143","50.522499999999994","48.22","52.34","143","143","143","41.245","39.65","42.4"
"16880","422","422","422","26.015","20.96","33.48","422","422","422","40.9225","39.65","43.24","422","422","422","16.96","16.04","17.5"
"16920","423","423","423","28.7275","26.05","31.65","423","423","423","40.192499999999995","38.61","42.16","423","423","423","15.9375","14.49","17.91"
"16960","424","424","424","30.65","28.16","32.33","424","424","424","39.57","37.13","43.38","424","424","424","17.05","15.62","18.66"
"16988","62","62","62","56.6225","53.68","58.21","62","62","62","59.302499999999995","58.04","59.79","62","62","62","57.46","53.99","61.16"
"16992","144","144","144","48","43.75","49.9","144","144","144","51.625","50.95","52.31","144","144","144","40.737500000000004","36.24","42.79"
"17000","425","425","425","31.724999999999998","25.64","35.68","425","425","425","38.725","35.47","42.84","425","425","425","15.375","13.85","17.96"
"17040","426","426","426","31.0775","27.59","34.78","426","426","426","36.635","30.7","40.71","426","426","426","15.4375","13.58","17.82"
"17052","87","87","87","51.3275","46.39","54.49","87","87","87","54.995000000000005","52.61","57.46","87","87","87","52.77","51.28","55.29"
"17080","427","427","427","29.137500000000003","26.21","33.33","427","427","427","34.9025","28.62","39.07","427","427","427","15.3","14.08","18.05"
"17110","145","145","145","47.0725","44.83","49.03","145","145","145","51.872499999999995","48.82","54.32","145","145","145","39.725","37.77","41.02"
"17120","428","428","428","29.6075","25.54","32.42","428","428","428","31.2575","23.49","36.54","428","428","428","14.932500000000001","10.31","17.29"
"17160","429","429","429","27.237499999999997","24.79","31.68","429","429","429","35.737500000000004","30.58","39.56","429","429","429","14.9425","13.28","16.78"
"17200","430","430","430","29.245","27.41","32.91","430","430","430","38.1775","34.52","40.49","430","430","430","17.4525","14.23","20.34"
"17204","44","44","44","59.38","58.42","59.95","","","","","","","","","","","",""
"17228","146","146","146","45.65","37.84","50.84","146","146","146","51.839999999999996","49.67","54.16","146","146","146","40.89","38.97","42.63"
"17240","431","431","431","29.759999999999998","28.27","31.46","431","431","431","34.3425","27.77","37.44","431","431","431","15.865","14.06","17.71"
"17248","88","88","88","52.28","50.43","54.11","88","88","88","55.035","52.94","56.36","88","88","88","50.0775","46.74","52.69"
"17262","63","63","63","56.6475","55.07","58.01","63","63","63","59.7975","58","61.5","63","63","63","59.03","57.69","60.62"
"17280","432","432","432","28.5325","23.8","34.88","432","432","432","35.995000000000005","29.24","40.54","432","432","432","16.7425","15.11","19.82"
"17320","433","433","433","29.7875","27.05","32.74","433","433","433","37.5575","33.56","41.13","433","433","433","15.355","13.94","17.05"
"17346","147","147","147","48.57249999999999","45.56","52.08","147","147","147","50.9875","49.52","51.79","147","147","147","42.339999999999996","39.48","43.98"
"17360","434","434","434","29.314999999999998","23.97","34.49","434","434","434","35.9875","26.42","42.05","434","434","434","16.935000000000002","14.74","19.29"
"17400","435","435","435","31.357499999999998","29.68","34.48","435","435","435","36.15","27.7","41.99","435","435","435","15.495000000000001","14.03","16.78"
"17440","436","436","436","31.7625","29.31","33.14","436","436","436","31.575000000000003","21.57","42.67","436","436","436","17.375","15.4","18.62"
"17444","89","89","89","51.660000000000004","48.56","53.7","89","89","89","56.934999999999995","55.43","58.64","89","89","89","51.21","48.34","52.79"
"17464","148","148","148","45.9375","43.87","48.39","148","148","148","51.6375","49.36","53.22","148","148","148","42.86749999999999","41.07","46.61"
"17480","437","437","437","31.9125","28.85","34.53","437","437","437","37.3975","34.05","41.9","437","437","437","16.055","15.43","17.01"
"17520","438","438","438","31.91","29.87","35.11","438","438","438","40.160000000000004","36.7","41.61","438","438","438","15.427499999999998","11.76","17.28"
"17536","64","64","64","57.18","56.61","58.27","64","64","64","56.8775","51.39","61.85","64","64","64","59.1075","57.71","60.82"
"17560","439","439","439","31.252499999999998","26.74","35.21","439","439","439","36.942499999999995","25.13","42.1","439","439","439","14.155000000000001","11.31","16.03"
"17582","149","149","149","47.5175","43.86","49.85","149","149","149","52.135","50.05","53.28","149","149","149","40.94","36.35","43.34"
"17595","45","45","45","58.417500000000004","56.29","59.55","","","","","","","","","","","",""
"17600","440","440","440","31.06","28.58","32.99","440","440","440","36.3925","23.79","42.8","440","440","440","15.407500000000002","14.41","17.98"
"17640","265.5","90","441","42.7975","25.55","57.28","265.5","90","441","45.191250000000004","34.43","56.32","265.5","90","441","33.80875","13.99","53.18"
"17680","442","442","442","30.152499999999996","25.42","35.93","442","442","442","32.4825","26.55","39.27","442","442","442","17.34","15.81","18.38"
"17700","150","150","150","47.5925","46.2","48.64","150","150","150","50.3325","49.09","52.21","150","150","150","42.567499999999995","39.96","43.64"
"17720","443","443","443","30.0875","24.35","35.57","443","443","443","35.24250000000001","27.95","41.92","443","443","443","16.145","14.61","17.29"
"17760","444","444","444","27.1675","21.96","30.92","444","444","444","34.6025","27.93","39.63","444","444","444","16.36","13.64","18.26"
"17800","445","445","445","29.2325","26.57","32.91","445","445","445","35.3275","30.06","39.04","445","445","445","18.02","16.08","19.17"
"17810","65","65","65","56.8525","56.04","58.03","65","65","65","58.9525","56.06","60.53","65","65","65","58.887499999999996","57.41","59.69"
"17818","151","151","151","48.96","45.23","51.15","151","151","151","51.315000000000005","49.34","53.72","151","151","151","42.0725","41.1","43.79"
"17836","91","91","91","53.47749999999999","51.87","56.01","91","91","91","55.6075","54.21","57.23","91","91","91","52.43000000000001","48.81","54.35"
"17840","446","446","446","30.755000000000003","23.87","34.79","446","446","446","32.5275","27.59","34.71","446","446","446","17.0125","12.9","18.96"
"17880","447","447","447","28.962500000000002","20.26","33.74","447","447","447","32.394999999999996","28.1","38.63","447","447","447","15.57","12.8","19.59"
"17920","448","448","448","31.16","29.73","33.25","448","448","448","34.87","30.92","38.82","448","448","448","15.3175","11.69","18.81"
"17936","152","152","152","48.66","48","49.3","152","152","152","51.044999999999995","50.21","52.12","152","152","152","41.330000000000005","37.28","45.14"
"17960","449","449","449","30.192500000000003","27.46","32.77","449","449","449","33.97","31.81","38.22","449","449","449","16.435000000000002","13.92","19.97"
"17986","46","46","46","59.5975","57.99","62.21","","","","","","","","","","","",""
"18000","450","450","450","31.224999999999998","25.02","34.42","450","450","450","37.9975","37.24","39.63","450","450","450","13.3325","7.62","17.42"
"18032","92","92","92","53.1225","51.71","53.99","92","92","92","55.8875","53.72","57.94","92","92","92","52.4525","50.31","54.94"
"18040","451","451","451","29.5875","25.27","33.38","451","451","451","38.295","36.8","40.2","451","451","451","14.264999999999999","11.09","16.54"
"18054","153","153","153","47.505","43.94","50.07","153","153","153","52.912499999999994","50.32","55.45","153","153","153","43.14999999999999","40.01","45.17"
"18080","452","452","452","29.4575","24.78","33.95","452","452","452","36.945","33.35","39.77","452","452","452","15.532499999999999","11.81","19.44"
"18084","66","66","66","55.06","53.15","56.93","66","66","66","59.125","56.5","61.58","66","66","66","59.2775","58.46","59.99"
"18120","453","453","453","29.7525","23.96","34.15","453","453","453","38.9925","34.68","43.33","453","453","453","16.3125","13.07","18.58"
"18160","454","454","454","31.435","26.48","34.91","454","454","454","40.177499999999995","38.86","42.77","454","454","454","14.709999999999999","9.81","19.66"
"18172","154","154","154","45.6225","40.52","49.18","154","154","154","49.4825","45.76","51.18","154","154","154","43.050000000000004","39.65","44.84"
"18200","455","455","455","28.925","19.84","35.42","455","455","455","37.095","30.87","41.96","455","455","455","14.885000000000002","11.4","16.49"
"18228","93","93","93","52.6225","50.34","54.84","93","93","93","56.47749999999999","53.86","59.57","93","93","93","50.1575","47.42","51.46"
"18240","456","456","456","29.2","25.26","32.97","456","456","456","39.1925","37.15","42.6","456","456","456","15.615","14.33","16.71"
"18280","457","457","457","27.41","24.66","31.2","457","457","457","40.3725","35.89","44.1","457","457","457","17.295","15.54","18.05"
"18290","155","155","155","47.2925","44.01","49.25","155","155","155","48.62499999999999","44.44","51.26","155","155","155","42.19","41.25","43.19"
"18320","458","458","458","29.6075","21.44","34.79","458","458","458","39.5475","38.97","40.05","458","458","458","16.044999999999998","14.52","18.7"
"18358","67","67","67","57.4675","56.3","58.87","67","67","67","59.825","57.74","60.84","67","67","67","57.9225","56.51","59.99"
"18360","459","459","459","29.455000000000002","26.17","34.97","459","459","459","37.045","26.6","43.52","459","459","459","16.997500000000002","15.49","18.98"
"18377","47","47","47","59.675","56.09","62.06","","","","","","","","","","","",""
"18400","460","460","460","26.8275","19.79","33.14","460","460","460","33.8625","25.44","41.68","460","460","460","16.4975","15.8","17"
"18408","156","156","156","49.015","47.3","51.81","156","156","156","50.427499999999995","48.38","52.16","156","156","156","41.45","37.66","43.79"
"18424","94","94","94","52.065","49.19","53.96","94","94","94","55.855","52.17","58.16","94","94","94","53.7675","52.47","55.07"
"18440","461","461","461","28.907499999999995","24.07","33.19","461","461","461","37.7075","34.22","40.84","461","461","461","16.9725","15.77","17.58"
"18480","462","462","462","29.25","23.03","34.23","462","462","462","32.99","25.42","39.02","462","462","462","17.7225","15.16","19.52"
"18520","463","463","463","31.2125","27.96","34.54","463","463","463","36.3125","33.96","39.39","463","463","463","17.1","14.7","19.27"
"18526","157","157","157","48.0275","46.46","49.44","157","157","157","50.58","44.58","53.41","157","157","157","41.9675","40.29","43.48"
"18560","464","464","464","29.8175","27.98","32.06","464","464","464","32.955","20.96","38.43","464","464","464","17.6525","15.65","19.53"
"18600","465","465","465","28.332499999999996","25.34","31.65","465","465","465","36.315","32.81","39.74","465","465","465","17.932499999999997","17.3","18.84"
"18620","95","95","95","52.66","51.82","54.03","95","95","95","53.585","51.53","55.32","95","95","95","52.4125","49.81","53.81"
"18632","68","68","68","57.8725","57.67","58.08","68","68","68","58.97","56.49","61.19","68","68","68","58.5425","56.4","59.76"
"18640","466","466","466","27.93","25.08","31.58","466","466","466","34.010000000000005","30.53","41.33","466","466","466","16.7225","14.81","19.06"
"18644","158","158","158","49.8725","48.24","51","158","158","158","51.7475","50.61","53.94","158","158","158","43.305","42.59","44.34"
"18680","467","467","467","29.155","24.82","34.16","467","467","467","33.7275","30.18","37.31","467","467","467","16.987499999999997","12.99","20.22"
"18720","468","468","468","31.887499999999996","26.82","34.66","468","468","468","38.8275","37.05","40.09","468","468","468","16.552500000000002","14.88","19.36"
"18760","469","469","469","33.1725","26.09","37.2","469","469","469","38.825","35.19","41.69","469","469","469","17.0775","16.57","17.76"
"18762","159","159","159","46.6875","43.25","48.59","159","159","159","50.637499999999996","49.79","52.57","159","159","159","42.0225","40.57","43.86"
"18768","48","48","48","58.522499999999994","55.1","60.57","","","","","","","","","","","",""
"18800","470","470","470","27.9775","24.38","35.73","470","470","470","37.724999999999994","35.96","39.58","470","470","470","17.3775","15.57","20.35"
"18816","96","96","96","53.012499999999996","52.64","53.72","96","96","96","57.4675","56.02","58.77","96","96","96","51.7825","47.35","53.85"
"18840","471","471","471","31.825000000000003","28.84","35.61","471","471","471","38.3075","36.01","42.29","471","471","471","14.7725","11.03","19.92"
"18880","316","160","472","40.1625","27.06","49.3","316","160","472","44.7275","33.07","52.69","316","160","472","29.574999999999996","14.64","44.17"
"18906","69","69","69","57.3375","55.06","59.3","69","69","69","58.625","54.75","61.37","69","69","69","57.669999999999995","55.69","58.83"
"18920","473","473","473","31.2475","26.48","36.97","473","473","473","39.097500000000004","37.2","41.06","473","473","473","16.2925","13.06","17.85"
"18960","474","474","474","29.1175","23.41","33.99","474","474","474","37.4925","29.11","42.03","474","474","474","16.9075","14.56","19.34"
"18998","161","161","161","44.16499999999999","41.47","46.15","161","161","161","49.217499999999994","47.54","52.16","161","161","161","41.2375","39.44","42.81"
"19000","475","475","475","29.1025","27.67","31.47","475","475","475","34.725","29.74","41.55","475","475","475","15.307500000000001","14.26","16.45"
"19012","97","97","97","54.010000000000005","52.25","55.61","97","97","97","57.5075","56.15","58.76","97","97","97","52.417500000000004","50.39","54.94"
"19040","476","476","476","29.8925","23.29","34.22","476","476","476","36.475","33.66","38.04","476","476","476","16.5475","15.66","17.18"
"19080","477","477","477","29.6825","28.61","32.76","477","477","477","36.5375","33.15","40.8","477","477","477","15.4425","12.11","17.71"
"19116","162","162","162","47.325","44.36","50.26","162","162","162","50.835","50","51.52","162","162","162","42.067499999999995","38.39","44.26"
"19120","478","478","478","30.097499999999997","23.41","34.19","478","478","478","39.325","38.14","41.37","478","478","478","14.185","11.75","16.52"
"19159","49","49","49","60.497499999999995","59.37","61.13","","","","","","","","","","","",""
"19160","479","479","479","29.429999999999996","20.6","33.48","479","479","479","39.707499999999996","35.94","43.09","479","479","479","16.3","15.02","17.7"
"19180","70","70","70","56.6375","54.96","57.3","70","70","70","58.38","57.73","60.15","70","70","70","57.5275","54.49","59.98"
"19200","480","480","480","31.765","28.32","33.68","480","480","480","35.675","30.49","42.05","480","480","480","14.4725","11.43","16.56"
"19208","98","98","98","54.30749999999999","50.96","55.58","98","98","98","56.205","55.43","57.56","98","98","98","52.325","51.99","52.78"
"19234","163","163","163","49.050000000000004","48.01","49.96","163","163","163","51.22500000000001","49.28","52.82","163","163","163","41.4825","39.37","44"
"19240","481","481","481","29.095000000000002","24.51","33.75","481","481","481","36.667500000000004","26.58","41.63","481","481","481","16.9","15.54","17.9"
"19280","482","482","482","23.335","15.43","32.36","482","482","482","39.015","36.71","44.06","482","482","482","17.22","14.33","19.79"
"19320","483","483","483","30.8625","28.01","32.43","483","483","483","39.825","36.72","41.72","483","483","483","16.3475","15.48","17.82"
"19352","164","164","164","47.99","46.93","50.72","164","164","164","51.2375","49.42","52.16","164","164","164","42.605000000000004","40.85","44.33"
"19360","484","484","484","31.7125","26.99","37.72","484","484","484","36.7525","32.83","40.02","484","484","484","17.365","15.8","20.12"
"19400","485","485","485","29.324999999999996","25.07","33.14","485","485","485","36.22","32.39","39.05","485","485","485","18.53","17.72","19.53"
"19404","99","99","99","55.1125","54.54","55.63","99","99","99","56.8025","55.31","57.76","99","99","99","53.0375","52.04","54.89"
"19440","486","486","486","29.4475","26.05","31.34","486","486","486","34.3475","25.33","37.5","486","486","486","17.1225","16.13","18.17"
"19454","71","71","71","58.574999999999996","57.73","59.81","71","71","71","59.205","57.68","60.45","71","71","71","59.3575","57.76","60.96"
"19470","165","165","165","49.34","46.77","51.19","165","165","165","49.620000000000005","46.39","53.34","165","165","165","42.8275","41.6","43.72"
"19480","487","487","487","32.3425","31.6","33.4","487","487","487","39.0375","36.75","41.71","487","487","487","14.9875","12","17.67"
"19520","488","488","488","31.925","27.56","34.8","488","488","488","36.235","32.45","39.34","488","488","488","15.36","13.87","16.85"
"19550","50","50","50","60.067499999999995","58.14","60.98","","","","","","","","","","","",""
"19560","489","489","489","31.1425","25.27","34.01","489","489","489","38.1275","35.06","41.5","489","489","489","17.1225","15.54","18.29"
"19588","166","166","166","49.1125","47.72","50.84","166","166","166","51.5025","50.12","53.46","166","166","166","42.04","38.82","43.38"
"19600","295","100","490","43.363749999999996","32.11","55.16","295","100","490","47.16125","29.74","60.78","295","100","490","34.816250000000004","14.9","53.9"
"19640","491","491","491","34.457499999999996","32.09","38.36","491","491","491","37.42","31.54","43.49","491","491","491","17.7775","16.36","18.93"
"19680","492","492","492","34.51","28.2","38.73","492","492","492","38.8625","33.18","43.76","492","492","492","18.015","17.77","18.44"
"19706","167","167","167","47.1725","43.98","49.08","167","167","167","52.767500000000005","52.15","53.74","167","167","167","40.684999999999995","39.74","42.73"
"19720","493","493","493","33.635000000000005","25.87","38.77","493","493","493","37.665000000000006","35.11","40.86","493","493","493","16.405","14.69","17.54"
"19728","72","72","72","56.91","52.77","58.48","72","72","72","57.802499999999995","56.64","60.36","72","72","72","58.847500000000004","55.84","61.46"
"19760","494","494","494","31.8225","27.01","38.1","494","494","494","35.905","33.96","38.12","494","494","494","16.0525","13.6","17.22"
"19796","101","101","101","54.3125","52.19","55.68","101","101","101","56.88","55.79","58.86","101","101","101","54.2175","53.12","56.05"
"19800","495","495","495","32.205","25.81","36.75","495","495","495","35.6475","31.35","39.74","495","495","495","16.82","12.11","20"
"19824","168","168","168","46.4825","43.21","49.23","168","168","168","49.277499999999996","43.71","52.75","168","168","168","41.9775","38.41","44.23"
"19840","496","496","496","30.935000000000002","26.06","35.57","496","496","496","37.825","34.35","41.01","496","496","496","17.3275","14.76","19.09"
"19880","497","497","497","32.3575","29.27","35.22","497","497","497","35.2975","28.26","41.55","497","497","497","16.73","16.08","17.48"
"19920","498","498","498","31.895","29.34","33.76","498","498","498","33.425","30.49","36.57","498","498","498","16.6725","13.32","18.54"
"19941","51","51","51","61.892500000000005","60.39","62.84","","","","","","","","","","","",""
"19942","169","169","169","46.4375","41.3","51.31","169","169","169","50.199999999999996","47.48","52.27","169","169","169","42.9825","40.08","46.4"
"19960","499","499","499","30.0825","26.28","32.14","499","499","499","35.86","32.6","41.11","499","499","499","17.22","14.05","18.99"
"19992","102","102","102","54.41","53.16","55.79","102","102","102","56.1625","55.58","57.44","102","102","102","53.692499999999995","51.56","55.33"
"20000","500","500","500","28.815","25.45","33","500","500","500","32.86","27.88","40.76","500","500","500","15.772499999999999","14.26","17.68"
"20002","73","73","73","58.84","57.3","59.83","73","73","73","61.0925","59.67","62.32","73","73","73","57.6775","55.58","59.47"
"20040","501","501","501","30.557500000000005","25.26","34.82","501","501","501","33.815000000000005","25.26","42.18","501","501","501","15.724999999999998","14.23","17.24"
