"trainer/global_step","TDDS keep 30% samples - _step","TDDS keep 30% samples - _step__MIN","TDDS keep 30% samples - _step__MAX","TDDS keep 30% samples - val_loss","TDDS keep 30% samples - val_loss__MIN","TDDS keep 30% samples - val_loss__MAX","Random pruning keep 30% samples - _step","Random pruning keep 30% samples - _step__MIN","Random pruning keep 30% samples - _step__MAX","Random pruning keep 30% samples - val_loss","Random pruning keep 30% samples - val_loss__MIN","Random pruning keep 30% samples - val_loss__MAX","No pruning - _step","No pruning - _step__MIN","No pruning - _step__MAX","No pruning - val_loss","No pruning - val_loss__MIN","No pruning - val_loss__MAX","seed3_50%_normal_test_loss - _step","seed3_50%_normal_test_loss - _step__MIN","seed3_50%_normal_test_loss - _step__MAX","seed3_50%_normal_test_loss - val_loss","seed3_50%_normal_test_loss - val_loss__MIN","seed3_50%_normal_test_loss - val_loss__MAX","seed3_70%_normal_test_loss - _step","seed3_70%_normal_test_loss - _step__MIN","seed3_70%_normal_test_loss - _step__MAX","seed3_70%_normal_test_loss - val_loss","seed3_70%_normal_test_loss - val_loss__MIN","seed3_70%_normal_test_loss - val_loss__MAX"
"284894","2977","2977","2977","0.07659909874200821","0.07659909874200821","0.07659909874200821","2977","2977","2977","0.07664067298173904","0.07664067298173904","0.07664067298173904","","","","","","","","","","","","","","","","","",""
"286327","","","","","","","","","","","","","","","","","","","","","","","","","2918","2918","2918","0.07085849344730377","0.07085849344730377","0.07085849344730377"
"289277","3023","3023","3023","0.07654330879449844","0.07654330879449844","0.07654330879449844","3023","3023","3023","0.07657303661108017","0.07657303661108017","0.07657303661108017","","","","","","","","","","","","","","","","","",""
"292159","","","","","","","","","","","","","2940","2940","2940","0.06919563561677933","0.06919563561677933","0.06919563561677933","2999","2999","2999","0.07252024114131927","0.07252024114131927","0.07252024114131927","","","","","",""
"293660","3069","3069","3069","0.07649001479148865","0.07649001479148865","0.07649001479148865","3069","3069","3069","0.0765695720911026","0.0765695720911026","0.0765695720911026","","","","","","","","","","","","","","","","","",""
"296553","","","","","","","","","","","","","","","","","","","","","","","","","3022","3022","3022","0.07079178839921951","0.07079178839921951","0.07079178839921951"
"298043","3115","3115","3115","0.07649417221546173","0.07649417221546173","0.07649417221546173","3115","3115","3115","0.07651537656784058","0.07651537656784058","0.07651537656784058","","","","","","","","","","","","","","","","","",""
"299463","","","","","","","","","","","","","","","","","","","3074","3074","3074","0.07252035290002823","0.07252035290002823","0.07252035290002823","","","","","",""
"302426","3161","3161","3161","0.07644417881965637","0.07644417881965637","0.07644417881965637","3161","3161","3161","0.07649889588356018","0.07649889588356018","0.07649889588356018","","","","","","","","","","","","","","","","","",""
"306767","","","","","","","","","","","","","3087","3087","3087","0.06912189722061157","0.06912189722061157","0.06912189722061157","3149","3149","3149","0.07248089462518692","0.07248089462518692","0.07248089462518692","","","","","",""
"306779","","","","","","","","","","","","","","","","","","","","","","","","","3126","3126","3126","0.07068794965744019","0.07068794965744019","0.07068794965744019"
"306809","3207","3207","3207","0.07645389437675476","0.07645389437675476","0.07645389437675476","3207","3207","3207","0.07653289288282394","0.07653289288282394","0.07653289288282394","","","","","","","","","","","","","","","","","",""
"311192","3252","3252","3252","0.07641719281673431","0.07641719281673431","0.07641719281673431","3252","3252","3252","0.07650221139192581","0.07650221139192581","0.07650221139192581","","","","","","","","","","","","","","","","","",""
"314071","","","","","","","","","","","","","","","","","","","3224","3224","3224","0.07248031347990036","0.07248031347990036","0.07248031347990036","","","","","",""
"315575","3298","3298","3298","0.07643365114927292","0.07643365114927292","0.07643365114927292","3298","3298","3298","0.076516292989254","0.076516292989254","0.076516292989254","","","","","","","","","","","","","","","","","",""
"317005","","","","","","","","","","","","","","","","","","","","","","","","","3231","3231","3231","0.07068303972482681","0.07068303972482681","0.07068303972482681"
"319958","3344","3344","3344","0.07642598450183868","0.07642598450183868","0.07642598450183868","3344","3344","3344","0.07650943845510483","0.07650943845510483","0.07650943845510483","","","","","","","","","","","","","","","","","",""
"320000","3346","3346","3346","0.07642602920532227","0.07642602920532227","0.07642602920532227","3346","3346","3346","0.07650937885046005","0.07650937885046005","0.07650937885046005","3221","3221","3221","0.06910797208547592","0.06910797208547592","0.06910797208547592","","","","","","","","","","","",""
