"trainer/global_step","TDDS keep 30% samples - _step","TDDS keep 30% samples - _step__MIN","TDDS keep 30% samples - _step__MAX","TDDS keep 30% samples - val_loss","TDDS keep 30% samples - val_loss__MIN","TDDS keep 30% samples - val_loss__MAX","Random pruning keep 30% samples - _step","Random pruning keep 30% samples - _step__MIN","Random pruning keep 30% samples - _step__MAX","Random pruning keep 30% samples - val_loss","Random pruning keep 30% samples - val_loss__MIN","Random pruning keep 30% samples - val_loss__MAX","No pruning - _step","No pruning - _step__MIN","No pruning - _step__MAX","No pruning - val_loss","No pruning - val_loss__MIN","No pruning - val_loss__MAX","seed3_50%_normal_test_loss - _step","seed3_50%_normal_test_loss - _step__MIN","seed3_50%_normal_test_loss - _step__MAX","seed3_50%_normal_test_loss - val_loss","seed3_50%_normal_test_loss - val_loss__MIN","seed3_50%_normal_test_loss - val_loss__MAX","seed3_70%_normal_test_loss - _step","seed3_70%_normal_test_loss - _step__MIN","seed3_70%_normal_test_loss - _step__MAX","seed3_70%_normal_test_loss - val_loss","seed3_70%_normal_test_loss - val_loss__MIN","seed3_70%_normal_test_loss - val_loss__MAX"
"74510","778","778","778","0.08911717683076859","0.08911717683076859","0.08911717683076859","778","778","778","0.08976249396800995","0.08976249396800995","0.08976249396800995","","","","","","","","","","","","","","","","","",""
"78893","823","823","823","0.08950680494308472","0.08950680494308472","0.08950680494308472","823","823","823","0.08823047578334808","0.08823047578334808","0.08823047578334808","","","","","","","","","","","","","","","","","",""
"80343","","","","","","","","","","","","","","","","","","","824","824","824","0.08495411276817322","0.08495411276817322","0.08495411276817322","","","","","",""
"81807","","","","","","","","","","","","","","","","","","","","","","","","","833","833","833","0.08490968495607376","0.08490968495607376","0.08490968495607376"
"83276","869","869","869","0.08784202486276627","0.08784202486276627","0.08784202486276627","869","869","869","0.08743840456008911","0.08743840456008911","0.08743840456008911","","","","","","","","","","","","","","","","","",""
"87647","","","","","","","","","","","","","881","881","881","0.08249033987522125","0.08249033987522125","0.08249033987522125","899","899","899","0.08419962227344513","0.08419962227344513","0.08419962227344513","","","","","",""
"87659","915","915","915","0.0856788232922554","0.0856788232922554","0.0856788232922554","915","915","915","0.08577858656644821","0.08577858656644821","0.08577858656644821","","","","","","","","","","","","","","","","","",""
"92033","","","","","","","","","","","","","","","","","","","","","","","","","937","937","937","0.08258912712335587","0.08258912712335587","0.08258912712335587"
"92042","961","961","961","0.08478439599275589","0.08478439599275589","0.08478439599275589","961","961","961","0.08552928268909454","0.08552928268909454","0.08552928268909454","","","","","","","","","","","","","","","","","",""
"94951","","","","","","","","","","","","","","","","","","","974","974","974","0.08426862955093384","0.08426862955093384","0.08426862955093384","","","","","",""
"96425","1007","1007","1007","0.08538257330656052","0.08538257330656052","0.08538257330656052","1007","1007","1007","0.08450719714164734","0.08450719714164734","0.08450719714164734","","","","","","","","","","","","","","","","","",""
"100808","1053","1053","1053","0.08385435491800308","0.08385435491800308","0.08385435491800308","1053","1053","1053","0.08417404443025589","0.08417404443025589","0.08417404443025589","","","","","","","","","","","","","","","","","",""
